device,corner,length_um,width_um,temp_c,vds_v,overdrive_bias_v,vov_v,id_a,gm_s,gds_s,cgg_f,vth_v,gm_id_per_v,gm_gds,ft_hz
nfet,tt,0.15,2.0,-40.0,0.9,0.46,-0.34780229199999996,2.47324573e-09,8.37511384e-08,2.67419999e-09,7.45052418e-16,0.807802292,33.86284564615421,31.31820309370355,17890563.595128752
nfet,tt,0.15,2.0,-40.0,0.9,0.48,-0.327802292,4.85746892e-09,1.63323319e-07,5.16743169e-09,7.62727109e-16,0.807802292,33.6231320652485,31.606285055700468,34079965.474289276
nfet,tt,0.15,2.0,-40.0,0.9,0.5,-0.307802292,9.48653634e-09,3.15861829e-07,9.92973684e-09,7.84548042e-16,0.807802292,33.29580129980296,31.809687818473947,64076345.52403481
nfet,tt,0.15,2.0,-40.0,0.9,0.52,-0.28780229199999996,1.83860127e-08,6.04062309e-07,1.89401215e-08,8.10892343e-16,0.807802292,32.8544485885186,31.89326472905678,118560130.99984829
nfet,tt,0.15,2.0,-40.0,0.9,0.54,-0.26780229199999994,3.52721399e-08,1.1382098e-06,3.57756622e-08,8.42015013e-16,0.807802292,32.26937189597617,31.81519865759466,215140719.76010904
nfet,tt,0.15,2.0,-40.0,0.9,0.56,-0.24780229199999992,6.67669261e-08,2.10388607e-06,6.67247749e-08,8.77988955e-16,0.807802292,31.51090207221626,31.530808056723767,381375945.375852
nfet,tt,0.15,2.0,-40.0,0.9,0.58,-0.22780229200000002,1.24239725e-07,3.79619871e-06,1.22455672e-07,9.18651438e-16,0.807802292,30.555433940311765,31.000595137806275,657685564.5825229
nfet,tt,0.15,2.0,-40.0,0.9,0.6,-0.207802292,2.2634174e-07,6.6530602e-06,2.20280689e-07,9.63569808e-16,0.807802292,29.393872292401745,30.20264840373729,1098900576.5090907
nfet,tt,0.15,2.0,-40.0,0.9,0.62,-0.18780229199999998,4.02092202e-07,1.12747889e-05,3.86830635e-07,1.01203827e-15,0.807802292,28.04030728255705,29.14657702847139,1773093408.5651062
nfet,tt,0.15,2.0,-40.0,0.9,0.64,-0.16780229199999996,6.94124778e-07,1.84197063e-05,6.60618238e-07,1.06311238e-15,0.807802292,26.5365923877162,27.882527669482844,2757551659.727569
nfet,tt,0.15,2.0,-40.0,0.9,0.66,-0.14780229199999995,1.16162863e-06,2.89805374e-05,1.09369171e-06,1.11567942e-15,0.807802292,24.948194846058506,26.497903508841627,4134158700.05879
nfet,tt,0.15,2.0,-40.0,0.9,0.68,-0.12780229199999993,1.88280399e-06,4.39637497e-05,1.75158258e-06,1.16855382e-15,0.807802292,23.35014687322816,25.099444469241067,5987784184.052243
nfet,tt,0.15,2.0,-40.0,0.9,0.7,-0.10780229200000002,2.95709335e-06,6.44880031e-05,2.71103168e-06,1.22058045e-15,0.807802292,21.80790237819175,23.78725544808093,8408773435.204923
nfet,tt,0.15,2.0,-40.0,0.9,0.72,-0.087802292,4.50742264e-06,9.17786707e-05,4.05515733e-06,1.27072751e-15,0.807802292,20.36167407190376,22.63257951079299,11495012894.076956
nfet,tt,0.15,2.0,-40.0,0.9,0.74,-0.06780229199999999,6.68176546e-06,0.000127092767,5.86553574e-06,1.31815456e-15,0.807802292,19.020836298555146,21.66771674977468,15345273394.40112
nfet,tt,0.15,2.0,-40.0,0.9,0.76,-0.04780229199999997,9.65191882e-06,0.000171507025,8.21062141e-06,1.36224878e-15,0.807802292,17.769215448084342,20.88843419221786,20037596072.382072
nfet,tt,0.15,2.0,-40.0,0.9,0.78,-0.02780229199999995,1.36065192e-05,0.000225560051,1.113114e-05,1.40263008e-15,0.807802292,16.57735146546517,20.263876925454174,25594059041.36179
nfet,tt,0.15,2.0,-40.0,0.9,0.8,-0.007802291999999933,1.87361319e-05,0.000288842754,1.46258219e-05,1.4391314e-15,0.807802292,15.416349305269355,19.748822047395503,31943401467.98015
nfet,tt,0.15,2.0,-40.0,0.9,0.82,0.012197707999999974,2.52111937e-05,0.000359730342,1.86433951e-05,1.47176329e-15,0.807802292,14.268675505039653,19.295323629117316,38900862997.77055
nfet,tt,0.15,2.0,-40.0,0.9,0.84,0.03219770799999999,3.31577627e-05,0.000435457278,2.30861725e-05,1.50067165e-15,0.807802292,13.132890838862298,18.862255230917988,46182773092.99582
nfet,tt,0.15,2.0,-40.0,0.9,0.86,0.05219770800000001,4.26388533e-05,0.000512590926,2.78257437e-05,1.5260958e-15,0.807802292,12.021686474387433,18.421463646270848,53457574325.90532
nfet,tt,0.15,2.0,-40.0,0.9,0.88,0.07219770800000003,5.36479539e-05,0.000587730913,3.27251737e-05,1.54833134e-15,0.807802292,10.955327655096273,17.95959643752785,60413606309.78554
nfet,tt,0.15,2.0,-40.0,0.9,0.9,0.09219770800000004,6.61162819e-05,0.000658133923,3.76594829e-05,1.56770019e-15,0.807802292,9.95418834948128,17.47591502378276,66814603793.5422
nfet,tt,0.15,2.0,-40.0,0.9,0.92,0.11219770800000006,7.99297832e-05,0.000722041494,4.25285851e-05,1.58452811e-15,0.807802292,9.033447422136883,16.9777925200714,72524098602.17442
nfet,tt,0.15,2.0,-40.0,0.9,0.94,0.13219770799999997,9.49493119e-05,0.000778680634,4.72615365e-05,1.59912915e-15,0.807802292,8.20101397701651,16.475990661031513,77498976234.05275
nfet,tt,0.15,2.0,-40.0,0.9,0.96,0.152197708,0.000111028449,0.000828052168,5.18143779e-05,1.61179594e-15,0.807802292,7.4580179715921275,15.981127277029413,81765062440.3239
nfet,tt,0.15,2.0,-40.0,0.9,0.98,0.172197708,0.0001280262,0.000870651923,5.61647968e-05,1.62279432e-15,0.807802292,6.800576155505669,15.501737255461768,85388860159.37881
nfet,tt,0.15,2.0,-40.0,0.9,1.0,0.19219770800000002,0.000145814326,0.000907223792,6.03061297e-05,1.63236126e-15,0.807802292,6.22177406628756,15.043641442637629,88454164237.7457
nfet,tt,0.15,2.0,-40.0,0.9,1.02,0.21219770800000004,0.000164280417,0.000938584071,6.42420834e-05,1.64070489e-15,0.807802292,5.713304653956412,14.610112582369956,91046412622.66516
nfet,tt,0.15,2.0,-40.0,0.9,1.04,0.23219770800000006,0.000183328189,0.000965516492,6.79826548e-05,1.64800602e-15,0.807802292,5.266601373561815,14.202394637874601,93244029738.76663
nfet,tt,0.15,2.0,-40.0,0.9,1.06,0.2521977080000001,0.000202876245,0.000988720742,7.15412345e-05,1.65442027e-15,0.807802292,4.873516571641988,13.820291876568053,95114763932.85881
nfet,tt,0.15,2.0,-40.0,0.9,1.08,0.2721977080000001,0.000222856176,0.00100879522,7.49326761e-05,1.66008075e-15,0.807802292,4.526664856710096,13.462687741910235,96715021742.45201
nfet,tt,0.15,2.0,-40.0,0.9,1.1,0.2921977080000001,0.000243210534,0.00102623878,7.81720779e-05,1.66510069e-15,0.807802292,4.219549059499207,13.127945521837024,98090749472.6917
nfet,tt,0.15,2.0,-40.0,0.9,1.12,0.31219770800000013,0.000263890938,0.00104146144,8.12740601e-05,1.66957603e-15,0.807802292,3.9465600747533056,12.814192360004911,99278938627.07372
nfet,tt,0.15,2.0,-40.0,0.9,1.14,0.3321977079999999,0.000284856431,0.00105479799,8.4252368e-05,1.67358786e-15,0.807802292,3.702910923573286,12.519505564520157,100309232687.6078
nfet,tt,0.15,2.0,-40.0,0.9,1.16,0.35219770799999994,0.000306072115,0.00106652152,8.71196851e-05,1.67720455e-15,0.807802292,3.4845432423662643,12.242026802275484,101205408619.88582
nfet,tt,0.15,2.0,-40.0,0.9,1.18,0.37219770799999996,0.000327508036,0.00107685542,8.98875749e-05,1.6804837e-15,0.807802292,3.2880274730113803,11.98002528378369,101986626284.02708
nfet,tt,0.15,2.0,-40.0,0.9,1.2,0.392197708,0.000349138299,0.00108598344,9.25664983e-05,1.68347384e-15,0.807802292,3.1104678092047418,11.731927424546425,102668439797.04535
nfet,tt,0.15,2.0,-40.0,0.9,1.22,0.412197708,0.000370940355,0.00109405778,9.51658735e-05,1.68621578e-15,0.807802292,2.9494169756752404,11.496324677774329,103263595193.69777
nfet,tt,0.15,2.0,-40.0,0.9,1.24,0.432197708,0.000392894438,0.00110120555,9.76941567e-05,1.68874396e-15,0.807802292,2.802802594013815,11.271969452396123,103782640112.4356
nfet,tt,0.15,2.0,-40.0,0.9,1.26,0.45219770800000003,0.000414983117,0.00110753384,0.000100158931,1.69108739e-15,0.807802292,2.6688648155293513,11.05776418480345,104234403449.45648
nfet,tt,0.15,2.0,-40.0,0.9,1.28,0.47219770800000005,0.000437190937,0.00111313358,0.000102566994,1.6932706e-15,0.807802292,2.546103969213799,10.85274644979846,104626343585.35353
nfet,tt,0.15,2.0,-40.0,0.9,1.3,0.49219770800000007,0.000459504125,0.00111808266,0.000104924447,1.69531436e-15,0.807802292,2.433237481818036,10.656073889052758,104964829133.12607
nfet,tt,0.15,2.0,-40.0,0.9,1.32,0.5121977080000001,0.000481910356,0.00112244827,0.000107236766,1.69723629e-15,0.807802292,2.329164036474867,10.467009700758787,105255344578.71295
nfet,tt,0.15,2.0,-40.0,0.9,1.34,0.5321977080000001,0.000504398557,0.00112628878,0.000109508882,1.69905139e-15,0.807802292,2.2329341834338354,10.284908031478214,105502651503.63712
nfet,tt,0.15,2.0,-40.0,0.9,1.36,0.5521977080000001,0.000526958748,0.00112965522,0.000111745239,1.70077247e-15,0.807802292,2.143726096753213,10.109202236347626,105710913966.38289
nfet,tt,0.15,2.0,-40.0,0.9,1.38,0.5721977079999999,0.000549581905,0.0011325924,0.000113949855,1.70241052e-15,0.807802292,2.0608254924259195,9.939393077770918,105883790572.62471
nfet,tt,0.15,2.0,-40.0,0.9,1.4,0.5921977079999999,0.000572259848,0.00113513994,0.00011612637,1.70397501e-15,0.807802292,1.9836092711505422,9.775040242797566,106024520014.54968
nfet,tt,0.15,2.0,-40.0,0.9,1.42,0.612197708,0.00059498514,0.00113733294,0.000118278092,1.70547413e-15,0.807802292,1.9115316728750569,9.615753186143719,106135974834.30489
nfet,tt,0.15,2.0,-40.0,0.9,1.44,0.632197708,0.000617751011,0.00113920265,0.000120408036,1.70691501e-15,0.807802292,1.8441129673845245,9.461184550838452,106220715072.91177
nfet,tt,0.15,2.0,-40.0,0.9,1.46,0.652197708,0.000640551278,0.00114077699,0.000122518959,1.70830391e-15,0.807802292,1.7809300038583327,9.311024181979867,106281028721.63632
nfet,tt,0.15,2.0,-40.0,0.9,1.48,0.672197708,0.000663380288,0.00114208097,0.000124613386,1.70964632e-15,0.807802292,1.7216082398878876,9.164994280790989,106318967648.63426
nfet,tt,0.15,2.0,-40.0,0.9,1.5,0.692197708,0.000686232864,0.00114313703,0.000126693645,1.71094713e-15,0.807802292,1.6658150461298804,9.022844279205952,106336371104.51697
nfet,tt,0.15,2.0,-40.0,0.9,1.52,0.712197708,0.000709104252,0.00114396538,0.000128761882,1.71221073e-15,0.807802292,1.6132541537770952,8.884348086804136,106334893108.04544
nfet,tt,0.15,2.0,-40.0,0.9,1.54,0.7321977080000001,0.000731990083,0.00114458427,0.000130820085,1.71344107e-15,0.807802292,1.5636608973020745,8.749300766774459,106316025421.1302
nfet,tt,0.15,2.0,-40.0,0.9,1.56,0.7521977080000001,0.000754886336,0.00114501016,0.000132870102,1.71464175e-15,0.807802292,1.5167980997870385,8.617515473872368,106281109073.91702
nfet,tt,0.15,2.0,-40.0,0.9,1.58,0.7721977080000001,0.000777789303,0.00114525797,0.000134913657,1.71581609e-15,0.807802292,1.4724527138424788,8.488821632045747,106231354341.06436
nfet,tt,0.15,2.0,-40.0,0.9,1.6,0.7921977080000001,0.000800695559,0.00114534124,0.000136952362,1.71696715e-15,0.807802292,1.4304328619362305,8.363063062760466,106167855263.27676
nfet,tt,0.15,2.0,-40.0,0.9,1.62,0.8121977080000001,0.000823601938,0.00114527226,0.000138987733,1.71809783e-15,0.807802292,1.3905652805785407,8.240095980268991,106091596288.80176
nfet,tt,0.15,2.0,-40.0,0.9,1.64,0.8321977079999999,0.000846505509,0.00114506221,0.000141021197,1.71921088e-15,0.807802292,1.3526931577240333,8.1197879067783,106003465304.51804
nfet,tt,0.15,2.0,-40.0,0.9,1.66,0.8521977079999999,0.000869403554,0.00114472127,0.000143054104,1.72030893e-15,0.807802292,1.3166742472276574,8.002016286089912,105904262545.9906
nfet,tt,0.15,2.0,-40.0,0.9,1.68,0.872197708,0.000892293549,0.00114425873,0.000145087734,1.72139452e-15,0.807802292,1.2823792475944482,7.886667593829812,105794709428.69879
nfet,tt,0.15,2.0,-40.0,0.9,1.7,0.892197708,0.000915173149,0.00114368307,0.000147123309,1.72247017e-15,0.807802292,1.2496903687020215,7.773636127229848,105675452086.93755
nfet,tt,0.15,2.0,-40.0,0.9,1.72,0.912197708,0.00093804017,0.00114300204,0.000149161993,1.72353834e-15,0.807802292,1.2185000989882981,7.662823598770231,105547071630.63184
nfet,tt,0.15,2.0,-40.0,0.9,1.74,0.932197708,0.000960892576,0.00114222273,0.000151204904,1.72460151e-15,0.807802292,1.1887101207034407,7.554138125043881,105410086061.80527
nfet,tt,0.15,2.0,-40.0,0.9,1.76,0.952197708,0.000983728467,0.00114135165,0.000153253116,1.72566218e-15,0.807802292,1.1602303768647575,7.447493922407425,105264958002.14551
nfet,tt,0.15,2.0,-40.0,0.9,1.78,0.972197708,0.00100654607,0.00114039475,0.000155307668,1.7267229e-15,0.807802292,1.1329781954242788,7.342810336962885,105112095020.31056
nfet,tt,0.15,2.0,-40.0,0.9,1.8,0.9921977080000001,0.00102934372,0.0011393575,0.000157369563,1.72778627e-15,0.807802292,1.1068775938128812,7.240011843967566,104951857311.50887
nfet,tt,0.15,2.0,27.0,0.9,0.0,-0.754546909,1.91654135e-13,5.13186451e-12,2.44265983e-13,7.63234361e-16,0.754546909,26.776695999801937,21.009329448873775,1070.1321190181156
nfet,tt,0.15,2.0,27.0,0.9,0.02,-0.734546909,3.27411783e-13,8.76674455e-12,4.12725474e-13,7.57170209e-16,0.754546909,26.775898135590317,21.241103596140036,1842.7438287610094
nfet,tt,0.15,2.0,27.0,0.9,0.04,-0.714546909,5.59322767e-13,1.49757899e-11,6.97265195e-13,7.5146895e-16,0.754546909,26.774862000208902,21.47789679936627,3171.7491312058614
nfet,tt,0.15,2.0,27.0,0.9,0.06,-0.694546909,9.55477354e-13,2.55814867e-11,1.17779428e-12,7.46154202e-16,0.754546909,26.7735144039845,21.719825893533798,5456.539746116149
nfet,tt,0.15,2.0,27.0,0.9,0.08,-0.674546909,1.63216818e-12,4.36960147e-11,1.98916659e-12,7.41256117e-16,0.754546909,26.771759942042248,21.96699608754237,9381.962014785131
nfet,tt,0.15,2.0,27.0,0.9,0.1,-0.654546909,2.78799486e-12,7.46331563e-11,3.35890448e-12,7.36812269e-16,0.754546909,26.769474137409276,22.219493511765478,16121.115572377947
nfet,tt,0.15,2.0,27.0,0.9,0.12,-0.634546909,4.76207571e-12,1.27464071e-10,5.67077138e-12,7.32868647e-16,0.754546909,26.766494016954635,22.477377848373074,27680.999929945574
nfet,tt,0.15,2.0,27.0,0.9,0.14,-0.614546909,8.13337832e-12,2.17670407e-10,9.57185577e-12,7.29480747e-16,0.754546909,26.762606931088875,22.74066933626602,47490.38460760733
nfet,tt,0.15,2.0,27.0,0.9,0.16,-0.594546909,1.38901513e-11,3.71666225e-10,1.61528457e-11,7.26714793e-16,0.754546909,26.75753611121572,23.009334200474658,81397.15533361182
nfet,tt,0.15,2.0,27.0,0.9,0.18,-0.5745469089999999,2.37187895e-11,6.34499438e-10,2.72513118e-11,7.24649035e-16,0.754546909,26.7509198983363,23.28326220244561,139355.35282501215
nfet,tt,0.15,2.0,27.0,0.9,0.2,-0.5545469089999999,4.04960095e-11,1.08295594e-09,4.59615041e-11,7.23375141e-16,0.754546909,26.742287780231777,23.562238904187648,238268.88875868905
nfet,tt,0.15,2.0,27.0,0.9,0.22,-0.534546909,6.91267354e-11,1.84782861e-09,7.74903905e-11,7.22999591e-16,0.754546909,26.731026704900636,23.84590654501864,406765.17791851156
nfet,tt,0.15,2.0,27.0,0.9,0.24,-0.514546909,1.17968982e-10,3.15169952e-09,1.3059322e-10,7.23644999e-16,0.754546909,26.716340741161943,24.133714751807176,693169.3833876048
nfet,tt,0.15,2.0,27.0,0.9,0.26,-0.494546909,2.01253546e-10,5.37290541e-09,2.19976994e-10,7.25451206e-16,0.754546909,26.69719623225918,24.424851491515515,1178748.4088443113
nfet,tt,0.15,2.0,27.0,0.9,0.28,-0.47454690899999996,3.43185466e-10,9.15353041e-09,3.70316069e-10,7.28575917e-16,0.754546909,26.672255432868475,24.718156127327003,1999557.736539188
nfet,tt,0.15,2.0,27.0,0.9,0.3,-0.454546909,5.84879421e-10,1.55810659e-08,6.2294352e-10,7.33194592e-16,0.754546909,26.63979162296428,25.012004138031646,3382190.3266651086
nfet,tt,0.15,2.0,27.0,0.9,0.32,-0.434546909,9.96050406e-10,2.64925348e-08,1.04696363e-09,7.39499209e-16,0.754546909,26.597584459997698,25.30415961058743,5701720.592988567
nfet,tt,0.15,2.0,27.0,0.9,0.34,-0.41454690899999996,1.69463959e-09,4.49804692e-08,1.75762709e-09,7.47695447e-16,0.754546909,26.54279379841468,25.591588486497443,9574572.166376656
nfet,tt,0.15,2.0,27.0,0.9,0.36,-0.394546909,2.87958616e-09,7.6227858e-08,2.94654735e-09,7.57997817e-16,0.754546909,26.471810102046053,25.870230118650564,16005376.440295313
nfet,tt,0.15,2.0,27.0,0.9,0.38,-0.374546909,4.88517192e-09,1.28871262e-07,4.93103588e-09,7.70622293e-16,0.754546909,26.38008735627056,26.13472404909777,26615500.947869323
nfet,tt,0.15,2.0,27.0,0.9,0.4,-0.35454690899999997,8.2703297e-09,2.17195114e-07,8.23391653e-09,7.85776146e-16,0.754546909,26.26196559007799,26.378104904106912,43991760.483535625
nfet,tt,0.15,2.0,27.0,0.9,0.42,-0.334546909,1.39637009e-08,3.64599311e-07,1.37111271e-08,8.03644946e-16,0.754546909,26.11050706478538,26.59149086292111,72205745.68703784
nfet,tt,0.15,2.0,27.0,0.9,0.44,-0.314546909,2.34956944e-08,6.08946864e-07,2.27526131e-08,8.24377123e-16,0.754546909,25.91738101598734,26.76382098722542,117563795.47896324
nfet,tt,0.15,2.0,27.0,0.9,0.46,-0.29454690899999997,3.93625185e-08,1.01054846e-06,3.75923734e-08,8.48067001e-16,0.754546909,25.672860846035547,26.88174139066197,189647495.36682242
nfet,tt,0.15,2.0,27.0,0.9,0.48,-0.274546909,6.55829867e-08,1.66357932e-06,6.17746815e-08,8.74737817e-16,0.754546909,25.366019507617207,26.929791940732223,302681405.62562865
nfet,tt,0.15,2.0,27.0,0.9,0.5,-0.254546909,1.08522967e-07,2.71147162e-06,1.00831563e-07,9.04326714e-16,0.754546909,24.985233033667427,26.891099764068915,477199340.3441462
nfet,tt,0.15,2.0,27.0,0.9,0.52,-0.23454690899999997,1.78066369e-07,4.36602799e-06,1.63223278e-07,9.3667398e-16,0.754546909,24.519104952378743,26.748807176878287,741853570.3170406
nfet,tt,0.15,2.0,27.0,0.9,0.54,-0.21454690899999995,2.89192124e-07,6.928429e-06,2.61564723e-07,9.71518686e-16,0.754546909,23.95787583758678,26.488392320397118,1135020601.3548949
nfet,tt,0.15,2.0,27.0,0.9,0.56,-0.19454690899999993,4.63958075e-07,1.08080206e-05,4.140874e-07,1.00850229e-15,0.754546909,23.295252701442905,26.100819778626445,1705647989.6828322
nfet,tt,0.15,2.0,27.0,0.9,0.58,-0.17454690900000003,7.33786511e-07,1.65324906e-05,6.46152689e-07,1.04718081e-15,0.754546909,22.530382273543868,25.586043177481848,2512677443.5546565
nfet,tt,0.15,2.0,27.0,0.9,0.6,-0.154546909,1.1418068e-06,2.47422972e-05,9.91441578e-07,1.08704489e-15,0.754546909,21.66942533535446,24.95588015373711,3622535682.798492
nfet,tt,0.15,2.0,27.0,0.9,0.62,-0.134546909,1.74488537e-06,3.61645554e-05,1.49224799e-06,1.12754585e-15,0.754546909,20.726035086190215,24.234949983078884,5104686214.428173
nfet,tt,0.15,2.0,27.0,0.9,0.64,-0.11454690899999997,2.6149266e-06,5.15667923e-05,2.19820541e-06,1.16812495e-15,0.754546909,19.720168168391417,23.45858674781444,7025883570.022271
nfet,tt,0.15,2.0,27.0,0.9,0.66,-0.09454690899999996,3.83908836e-06,7.16956869e-05,3.16291706e-06,1.20824243e-15,0.754546909,18.675185402609486,22.667583607140177,9444067419.900032
nfet,tt,0.15,2.0,27.0,0.9,0.68,-0.07454690899999994,5.51866615e-06,9.72056433e-05,4.4384189e-06,1.24740352e-15,0.754546909,17.613974220926554,21.900961916866386,12402368904.34827
nfet,tt,0.15,2.0,27.0,0.9,0.7,-0.05454690900000003,7.76644835e-06,0.000128576787,6.06810834e-06,1.28517877e-15,0.754546909,16.55541647940014,21.18894057188175,15922789650.441978
nfet,tt,0.15,2.0,27.0,0.9,0.72,-0.034546909000000015,1.07022972e-05,0.000166019379,8.07947811e-06,1.32121745e-15,0.754546909,15.512499409939766,20.548280067064873,19998831242.273407
nfet,tt,0.15,2.0,27.0,0.9,0.74,-0.014546908999999997,1.44467206e-05,0.000209371094,1.0478395e-05,1.35525381e-15,0.754546909,14.492638142389215,19.981217925073448,24587604406.48226
nfet,tt,0.15,2.0,27.0,0.9,0.76,0.005453091000000021,1.9112525e-05,0.00025801416,1.3246525e-05,1.38710665e-15,0.754546909,13.499742184771506,19.477875140838826,29604233352.715294
nfet,tt,0.15,2.0,27.0,0.9,0.78,0.02545309100000004,2.47953654e-05,0.000310855319,1.63427786e-05,1.41667372e-15,0.754546909,12.536831540300671,19.02095883499272,34922763023.55491
nfet,tt,0.15,2.0,27.0,0.9,0.8,0.04545309100000006,3.15648355e-05,0.000366403459,1.97085217e-05,1.44392235e-15,0.754546909,11.607963520037988,18.591118328271165,40386466533.8954
nfet,tt,0.15,2.0,27.0,0.9,0.82,0.06545309099999996,3.94581197e-05,0.000422944193,2.32752045e-05,1.46887796e-15,0.754546909,10.718812660502929,18.171449062885785,45826583828.62698
nfet,tt,0.15,2.0,27.0,0.9,0.84,0.08545309099999998,4.84777693e-05,0.000478767411,2.69724768e-05,1.49161196e-15,0.754546909,9.87601983163033,17.75022051367563,51084465729.249756
nfet,tt,0.15,2.0,27.0,0.9,0.86,0.105453091,5.85940029e-05,0.000532381118,3.07350278e-05,1.5122299e-15,0.754546909,9.08593186419766,17.321641010521553,56030558937.162674
nfet,tt,0.15,2.0,27.0,0.9,0.88,0.12545309100000002,6.97506597e-05,0.000582655861,3.45071221e-05,1.53086077e-15,0.754546909,8.353410039503897,16.885089962341425,60575437176.83371
nfet,tt,0.15,2.0,27.0,0.9,0.9,0.14545309100000003,8.18731296e-05,0.00062887758,3.82446726e-05,1.54764782e-15,0.754546909,7.681123014015089,16.443534151211427,64671674112.957344
nfet,tt,0.15,2.0,27.0,0.9,0.92,0.16545309100000005,9.4876502e-05,0.00067072062,4.19153152e-05,1.562741e-15,0.754546909,7.069407133074952,16.001803083184257,68308505444.38314
